Time(s),Reference(C),Temperature(C),Control_Effort(%),Base_NMPC(%),Residual_SAC(%)
0.0,35.0,30.18,51.837579293298205,37.04962400917955,14.787955284118652
1.0,35.0,30.212,51.89233927254625,37.04962400917955,14.8427152633667
2.01,35.0,30.212,51.81030838017412,37.04962400917955,14.760684370994568
3.0,35.0,30.212,51.139700694131335,37.04962400917955,14.090076684951782
4.01,35.0,30.212,49.49720708851763,37.04962400917955,12.447583079338074
5.01,35.0,30.276,55.55882396370979,43.26622786194893,12.292596101760864
6.01,35.0,30.147,56.5499788728437,43.26622786194893,13.283751010894775
7.01,35.0,30.212,56.58330442578407,43.26622786194893,13.317076563835144
8.01,35.0,30.18,56.18020953805061,43.26622786194893,12.913981676101685
9.01,35.0,30.405,56.125587245531996,43.26622786194893,12.859359383583069
10.01,35.0,30.309,62.66908657478719,48.87108814644246,13.797998428344727
11.0,35.0,30.405,62.576271414035844,48.87108814644246,13.705183267593384
12.01,35.0,30.438,62.58702349590688,48.87108814644246,13.715935349464417
13.01,35.0,30.502,62.6660449497643,48.87108814644246,13.794956803321838
14.0,35.0,30.534,62.63532829212575,48.87108814644246,13.764240145683289
15.0,35.0,30.631,67.411937791134,53.380606848026396,14.031330943107605
16.01,35.0,30.695,66.32549472453701,53.380606848026396,12.94488787651062
17.0,35.0,30.76,66.09981723430263,53.380606848026396,12.719210386276245
18.01,35.0,30.792,65.01972027423488,53.380606848026396,11.639113426208496
19.01,35.0,30.824,65.3233534872781,53.380606848026396,11.942746639251709
20.0,35.0,31.05,66.29585989120113,53.380606848026396,12.915253043174744
21.01,35.0,31.018,65.37627883555996,53.380606848026396,11.99567198753357
22.01,35.0,31.114,63.113692480350615,53.380606848026396,9.733085632324219
23.01,35.0,31.179,63.471087890888334,53.380606848026396,10.090481042861938
24.02,35.0,31.437,63.45986731650937,53.380606848026396,10.079260468482971
25.0,35.0,31.501,64.44131262900936,53.380606848026396,11.060705780982971
26.01,35.0,31.501,63.98090251090634,53.380606848026396,10.600295662879944
27.0,35.0,31.759,63.244240957523466,53.380606848026396,9.86363410949707
28.01,35.0,31.791,61.89669020774472,53.380606848026396,8.516083359718323
29.01,35.0,31.984,61.62925787570584,53.380606848026396,8.248651027679443
30.02,35.0,32.081,61.327800828243376,53.380606848026396,7.94719398021698
31.01,35.0,32.178,58.74786444308865,53.380606848026396,5.367257595062256
32.0,35.0,32.403,58.6772901594888,53.380606848026396,5.296683311462402
33.02,35.0,32.436,58.48109908702481,53.380606848026396,5.100492238998413
34.0,35.0,32.693,58.871451693798186,53.380606848026396,5.4908448457717896
35.01,35.0,32.79,58.47278781535733,53.380606848026396,5.092180967330933
36.01,35.0,32.854,57.7087945521127,53.380606848026396,4.328187704086304
37.01,35.0,33.112,57.966526228214384,53.380606848026396,4.585919380187988
38.01,35.0,33.209,57.10379191043484,53.380606848026396,3.7231850624084473
39.0,35.0,33.37,56.81971378924954,53.380606848026396,3.4391069412231445
40.01,35.0,33.435,56.95105977656949,53.380606848026396,3.570452928543091
41.0,35.0,33.757,55.743198472286345,53.380606848026396,2.3625916242599487
