Time(s),Reference(C),Temperature(C),Control_Effort(%),Base_NMPC(%),Residual_SAC(%)
0.0,35.0,32.0,47.07903632960163,33.36378583750568,13.715250492095947
1.0,35.0,32.0,47.26151058516346,33.36378583750568,13.897724747657776
2.0,35.0,32.0,47.43259081683002,33.36378583750568,14.06880497932434
3.0,35.0,32.0,45.878043268535954,33.36378583750568,12.514257431030273
4.0,35.0,32.0,43.73090097746692,33.36378583750568,10.367115139961243
5.0,35.0,32.0,43.47689757189594,33.36378583750568,10.113111734390259
6.0,35.0,32.0,43.716417048786504,33.36378583750568,10.352631211280823
7.0,35.0,32.0,44.0737659677013,33.36378583750568,10.709980130195618
8.0,35.0,32.0,43.64311406454883,33.36378583750568,10.279328227043152
9.0,35.0,32.0,44.7254229529842,33.36378583750568,11.361637115478516
10.0,35.0,32.0,45.288520549152715,33.36378583750568,11.924734711647034
11.0,35.0,32.0,45.74683496794544,33.36378583750568,12.383049130439758
12.0,35.0,32.0,45.625861976955754,33.36378583750568,12.262076139450073
13.0,35.0,32.0,46.15194330057941,33.36378583750568,12.78815746307373
14.0,35.0,32.0,45.83663532576404,33.36378583750568,12.472849488258362
15.0,35.0,32.0,46.30811402640186,33.36378583750568,12.94432818889618
16.0,35.0,32.0,44.689831827495915,33.36378583750568,11.326045989990234
17.0,35.0,32.0,43.815699909542424,33.36378583750568,10.451914072036743
18.0,35.0,32.0,42.33945498308979,33.36378583750568,8.975669145584106
19.0,35.0,32.0,43.269190882061345,33.36378583750568,9.905405044555664
20.0,35.0,32.0,44.894822333668095,33.36378583750568,11.531036496162415
21.0,35.0,32.0,44.25290891966663,33.36378583750568,10.88912308216095
22.0,35.0,32.0,42.734215353344304,33.36378583750568,9.370429515838623
23.0,35.0,32.175,42.567896936748845,33.36378583750568,9.204111099243164
24.0,35.0,32.297,42.63671347937427,33.36378583750568,9.272927641868591
25.0,35.0,32.589,42.93053159556232,33.36378583750568,9.56674575805664
26.0,35.0,32.716,41.91732892832599,33.36378583750568,8.553543090820312
27.0,35.0,32.863,40.00413248381458,33.36378583750568,6.640346646308899
28.0,35.0,32.971,37.68028805098377,33.36378583750568,4.316502213478088
29.0,35.0,33.07,37.612115238521916,33.36378583750568,4.248329401016235
30.0,35.0,33.099,38.10907492480121,33.36378583750568,4.745289087295532
31.0,35.0,33.29,37.72427627882801,33.36378583750568,4.360490441322327
32.0,35.0,33.492,38.146454189632756,33.36378583750568,4.782668352127075
33.0,35.0,33.871,37.60702977022968,33.36378583750568,4.243243932723999
34.0,35.0,33.849,36.468499992702824,33.36378583750568,3.1047141551971436
35.0,35.0,33.908,35.95254132590137,33.36378583750568,2.588755488395691
36.0,35.0,34.313,35.56373188338123,33.36378583750568,2.1999460458755493
37.0,35.0,34.356,34.46285495600544,33.36378583750568,1.0990691184997559
38.0,35.0,34.494,34.3177742703899,33.36378583750568,0.9539884328842163
39.0,35.0,34.548,34.46435878119312,33.36378583750568,1.100572943687439
40.0,35.0,34.633,32.04487957971216,31.479487800766236,0.5653917789459229
41.0,35.0,34.884,31.08843871371866,31.479487800766236,-0.3910490870475769
42.0,35.0,35.142,30.60776540057779,31.479487800766236,-0.871722400188446
43.0,35.0,35.016,30.143564427067048,31.479487800766236,-1.3359233736991882
44.0,35.0,35.218,30.409831786323792,31.479487800766236,-1.0696560144424438
45.0,35.0,35.347,26.97726789072309,29.088622360976082,-2.1113544702529907
46.0,35.0,35.591,26.55552807405744,29.088622360976082,-2.53309428691864
47.0,35.0,35.608,26.25862184122358,29.088622360976082,-2.8300005197525024
48.0,35.0,35.855,26.486563115866524,29.088622360976082,-2.602059245109558
49.0,35.0,35.746,26.202765732558113,29.088622360976082,-2.8858566284179688
50.0,35.0,35.91,25.82903971340578,26.753839453720264,-0.9247997403144836
51.0,35.0,36.193,25.315572818779163,26.753839453720264,-1.438266634941101
52.0,35.0,36.044,23.840660950206928,26.753839453720264,-2.913178503513336
53.0,35.0,36.312,25.45108517076891,26.753839453720264,-1.302754282951355
54.0,35.0,36.529,25.32612999346178,26.753839453720264,-1.4277094602584839
55.0,35.0,36.574,23.118099085720402,24.51355319443546,-1.3954541087150574
56.0,35.0,36.471,24.512584022911412,24.51355319443546,-0.0009691715240478516
57.0,35.0,36.766,27.517527155311925,24.51355319443546,3.003973960876465
58.0,35.0,36.868,29.373147301109654,24.51355319443546,4.859594106674194
59.0,35.0,36.871,30.87751071873508,24.51355319443546,6.363957524299622
60.0,35.0,36.999,29.883706757029568,22.409899422129666,7.473807334899902
61.0,35.0,37.086,28.70860416551498,22.409899422129666,6.298704743385315
62.0,35.0,37.138,25.818203875025784,22.409899422129666,3.408304452896118
63.0,35.0,37.166,25.2407278503981,22.409899422129666,2.8308284282684326
64.0,35.0,37.368,24.470839091738736,22.409899422129666,2.06093966960907
65.0,35.0,37.301,22.447857519797466,20.458663365058086,1.9891941547393799
66.0,35.0,37.599,22.571786305121563,20.458663365058086,2.1131229400634766
67.0,35.0,37.674,23.33670403640666,20.458663365058086,2.8780406713485718
68.0,35.0,37.641,23.026690742186688,20.458663365058086,2.568027377128601
69.0,35.0,37.82,23.437356611899517,20.458663365058086,2.9786932468414307
70.0,35.0,37.91,21.709193358622535,18.641409645281776,3.0677837133407593
71.0,35.0,37.843,21.255052457056983,18.641409645281776,2.6136428117752075
72.0,35.0,37.895,21.90634108563517,18.641409645281776,3.2649314403533936
73.0,35.0,38.045,22.541906604968055,18.641409645281776,3.9004969596862793
74.0,35.0,38.105,21.86244584103678,18.641409645281776,3.221036195755005
75.0,35.0,38.151,20.55313651763243,16.970475961792893,3.5826605558395386
76.0,35.0,38.205,21.074506094086594,16.970475961792893,4.104030132293701
77.0,35.0,38.165,20.938214113343186,16.970475961792893,3.967738151550293
78.0,35.0,38.106,21.289145400155014,16.970475961792893,4.318669438362122
79.0,35.0,38.236,20.96411352359099,16.970475961792893,3.9936375617980957
80.0,35.0,38.321,18.877874986361448,15.434991494845335,3.4428834915161133
81.0,35.0,38.233,18.29727329416174,15.434991494845335,2.8622817993164062
82.0,35.0,38.602,18.97336520357031,15.434991494845335,3.5383737087249756
83.0,35.0,38.502,18.490758911799375,15.434991494845335,3.0557674169540405
84.0,35.0,38.742,19.247259871195737,15.434991494845335,3.812268376350403
85.0,35.0,38.602,17.50287735040007,14.029064412663557,3.4738129377365112
86.0,35.0,38.765,17.77552926118193,14.029064412663557,3.7464648485183716
87.0,35.0,38.832,17.19470583970366,14.029064412663557,3.1656414270401
88.0,35.0,38.764,17.112176056454757,14.029064412663557,3.0831116437911987
89.0,35.0,38.773,17.34488629872618,14.029064412663557,3.315821886062622
90.0,35.0,38.753,16.254050193911127,12.748850046282344,3.505200147628784
91.0,35.0,38.968,16.496039091234735,12.748850046282344,3.7471890449523926
92.0,35.0,38.979,16.07218569386535,12.748850046282344,3.323335647583008
93.0,35.0,39.043,16.409287510996393,12.748850046282344,3.6604374647140503
94.0,35.0,38.895,16.434659420137933,12.748850046282344,3.685809373855591
95.0,35.0,39.221,14.810643613755442,11.577390850007273,3.233252763748169
96.0,35.0,39.165,15.717165887772776,11.577390850007273,4.139775037765503
97.0,35.0,39.091,16.31051701348994,11.577390850007273,4.733126163482666
98.0,35.0,39.23,15.215717971741892,11.577390850007273,3.638327121734619
99.0,35.0,39.206,15.554427326142527,11.577390850007273,3.977036476135254
100.0,35.0,39.18,14.632464813231875,10.51016526126807,4.122299551963806
101.0,35.0,39.483,14.278987215995242,10.51016526126807,3.768821954727173
102.0,35.0,39.303,14.844561385154178,10.51016526126807,4.334396123886108
103.0,35.0,39.247,14.914184378623416,10.51016526126807,4.404019117355347
104.0,35.0,39.267,13.903041647910525,10.51016526126807,3.392876386642456
105.0,35.0,39.231,13.160405274508474,9.536880370257375,3.6235249042510986
106.0,35.0,39.215,13.222745176432607,9.536880370257375,3.685864806175232
107.0,35.0,39.532,13.50897264110851,9.536880370257375,3.9720922708511353
108.0,35.0,39.432,14.576854821322438,9.536880370257375,5.0399744510650635
109.0,35.0,39.439,14.527566548464772,9.536880370257375,4.9906861782073975
110.0,35.0,39.525,13.004998282385873,8.647249058676767,4.3577492237091064
111.0,35.0,39.53,13.235063866568613,8.647249058676767,4.587814807891846
112.0,35.0,39.592,13.371178821517038,8.647249058676767,4.723929762840271
113.0,35.0,39.439,13.327006415320444,8.647249058676767,4.679757356643677
114.0,35.0,39.508,13.265451506568002,8.647249058676767,4.618202447891235
115.0,35.0,39.494,12.487623742148076,7.838847687765751,4.648776054382324
116.0,35.0,39.585,12.76657705597559,7.838847687765751,4.927729368209839
117.0,35.0,39.564,12.640951326414738,7.838847687765751,4.802103638648987
118.0,35.0,39.695,12.842333367392216,7.838847687765751,5.003485679626465
119.0,35.0,39.569,12.721569588705693,7.838847687765751,4.882721900939941
120.0,35.0,39.529,11.989050986183155,7.101889135253894,4.88716185092926
121.0,35.0,39.471,11.786917926681507,7.101889135253894,4.685028791427612
122.0,35.0,39.794,11.817366363418568,7.101889135253894,4.715477228164673
123.0,35.0,39.734,12.657584430587757,7.101889135253894,5.555695295333862
124.0,35.0,39.47,12.45661902607726,7.101889135253894,5.354729890823364
125.0,35.0,39.572,10.896285890182725,6.431664942344896,4.46462094783783
126.0,35.0,39.941,11.169926642021409,6.431664942344896,4.738261699676514
127.0,35.0,39.604,11.974857567390671,6.431664942344896,5.543192625045776
128.0,35.0,39.629,11.552971123298875,6.431664942344896,5.1213061809539795
129.0,35.0,39.571,11.240018127998582,6.431664942344896,4.8083531856536865
130.0,35.0,39.675,11.292456750312644,5.820671681800681,5.471785068511963
131.0,35.0,39.759,11.09795725766738,5.820671681800681,5.277285575866699
132.0,35.0,39.685,10.96902168218215,5.820671681800681,5.14835000038147
133.0,35.0,39.632,11.04511416379531,5.820671681800681,5.224442481994629
134.0,35.0,39.781,11.123059157768088,5.820671681800681,5.302387475967407
135.0,35.0,39.817,10.439702097753575,5.266278807500888,5.1734232902526855
136.0,35.0,39.878,10.386202756742527,5.266278807500888,5.119923949241638
137.0,35.0,39.682,10.40301841912656,5.266278807500888,5.136739611625671
138.0,35.0,39.771,10.55552167115598,5.266278807500888,5.28924286365509
